|       name |               hmsdms |                 ra |                  dec | label |
| T0000-2425 | 00h00m00s -24d25m31s |                0.0 |   -24.42527777777778 |     t |
| T0012-2425 | 00h12m12s -24d25m31s |               3.05 |   -24.42527777777778 |     t |
| T0024-2425 | 00h24m24s -24d25m31s |                6.1 |   -24.42527777777778 |     t |
| T0036-2425 | 00h36m36s -24d25m31s |  9.149999999999999 |   -24.42527777777778 |     t |
| T0048-2425 | 00h48m48s -24d25m31s |               12.2 |   -24.42527777777778 |     t |
| T0101-2425 | 01h01m01s -24d25m31s | 15.254166666666665 |   -24.42527777777778 |     t |
| T0113-2425 | 01h13m13s -24d25m31s | 18.304166666666664 |   -24.42527777777778 |     t |
| T0125-2425 | 01h25m25s -24d25m31s | 21.354166666666664 |   -24.42527777777778 |     t |
| T0137-2425 | 01h37m37s -24d25m31s | 24.404166666666665 |   -24.42527777777778 |     t |
| T0149-2425 | 01h49m49s -24d25m31s | 27.454166666666662 |   -24.42527777777778 |     t |
| T0202-2425 | 02h02m02s -24d25m31s |  30.50833333333333 |   -24.42527777777778 |     t |
| T0214-2425 | 02h14m14s -24d25m31s |  33.55833333333333 |   -24.42527777777778 |     t |
| T0226-2425 | 02h26m26s -24d25m31s |  36.60833333333333 |   -24.42527777777778 |     t |
| T0238-2425 | 02h38m38s -24d25m31s | 39.658333333333324 |   -24.42527777777778 |     t |
| T0250-2425 | 02h50m50s -24d25m31s |  42.70833333333333 |   -24.42527777777778 |     t |
| T0303-2425 | 03h03m03s -24d25m31s | 45.762499999999996 |   -24.42527777777778 |     t |
| T0315-2425 | 03h15m15s -24d25m31s |            48.8125 |   -24.42527777777778 |     t |
| T0327-2425 | 03h27m27s -24d25m31s |            51.8625 |   -24.42527777777778 |     t |
| T0339-2425 | 03h39m39s -24d25m31s | 54.912499999999994 |   -24.42527777777778 |     t |
| T0351-2425 | 03h51m51s -24d25m31s |  57.96249999999999 |   -24.42527777777778 |     t |
| T0404-2425 | 04h04m04s -24d25m31s |  61.01666666666666 |   -24.42527777777778 |     t |
| T0416-2425 | 04h16m16s -24d25m31s |  64.06666666666665 |   -24.42527777777778 |     t |
| T0428-2425 | 04h28m28s -24d25m31s |  67.11666666666666 |   -24.42527777777778 |     t |
| T0440-2425 | 04h40m40s -24d25m31s |  70.16666666666666 |   -24.42527777777778 |     t |
| T0452-2425 | 04h52m52s -24d25m31s |  73.21666666666665 |   -24.42527777777778 |     t |
| T0505-2425 | 05h05m05s -24d25m31s |  76.27083333333333 |   -24.42527777777778 |     t |
| T0517-2425 | 05h17m17s -24d25m31s |  79.32083333333333 |   -24.42527777777778 |     t |
| T0529-2425 | 05h29m29s -24d25m31s |  82.37083333333334 |   -24.42527777777778 |     t |
| T0541-2425 | 05h41m41s -24d25m31s |  85.42083333333332 |   -24.42527777777778 |     t |
| T0553-2425 | 05h53m53s -24d25m31s |  88.47083333333332 |   -24.42527777777778 |     t |
| T0606-2425 | 06h06m06s -24d25m31s |  91.52499999999999 |   -24.42527777777778 |     t |
| T0618-2425 | 06h18m18s -24d25m31s |  94.57499999999999 |   -24.42527777777778 |     t |
| T0630-2425 | 06h30m30s -24d25m31s |             97.625 |   -24.42527777777778 |     t |
| T0642-2425 | 06h42m42s -24d25m31s |            100.675 |   -24.42527777777778 |     t |
| T0654-2425 | 06h54m54s -24d25m31s |            103.725 |   -24.42527777777778 |     t |
| T0707-2425 | 07h07m07s -24d25m31s | 106.77916666666665 |   -24.42527777777778 |     t |
| T0719-2425 | 07h19m19s -24d25m31s | 109.82916666666665 |   -24.42527777777778 |     t |
| G0731-2425 | 07h31m31s -24d25m31s | 112.87916666666665 |   -24.42527777777778 |     g |
| G0743-2425 | 07h43m43s -24d25m31s | 115.92916666666666 |   -24.42527777777778 |     g |
| G0755-2425 | 07h55m55s -24d25m31s | 118.97916666666666 |   -24.42527777777778 |     g |
